share_code,name,fund_type,status,inception_date,end_date,known_at,source,family_id,end_known_at,source_ts_code,canonical_fund_id,is_representative
022465,华安中证A500ETF联接-A,指数型-股票,存续,2024-11-12,,2024-11-12,tushare_fund_basic,华安基金管理有限公司,,022465.OF,022465,True
022466,华安中证A500ETF联接-C,指数型-股票,存续,2024-11-12,,2024-11-12,tushare_fund_basic,华安基金管理有限公司,,022466.OF,022465,False
022467,国泰海通中证A500指数增强-A,指数型-股票,存续,2024-12-17,,2024-12-17,tushare_fund_basic,上海国泰海通证券资产管理有限公司,,022467.OF,022467,True
022468,国泰海通中证A500指数增强-C,指数型-股票,存续,2024-12-17,,2024-12-17,tushare_fund_basic,上海国泰海通证券资产管理有限公司,,022468.OF,022467,False
022469,汇添富中证A500ETF联接-A,指数型-股票,存续,2024-12-10,,2024-12-10,tushare_fund_basic,汇添富基金管理股份有限公司,,022469.OF,022469,True
022470,汇添富中证A500ETF联接-C,指数型-股票,存续,2024-12-10,,2024-12-10,tushare_fund_basic,汇添富基金管理股份有限公司,,022470.OF,022469,False
022473,兴全中证A500指数增强-A,指数型-股票,存续,2024-12-24,,2024-12-24,tushare_fund_basic,兴证全球基金管理有限公司,,022473.OF,022473,True
022474,兴全中证A500指数增强-C,指数型-股票,存续,2024-12-24,,2024-12-24,tushare_fund_basic,兴证全球基金管理有限公司,,022474.OF,022473,False
022475,国泰中证畜牧养殖ETF联接-E,指数型-股票,存续,2024-11-11,,2024-11-11,tushare_fund_basic,国泰基金管理有限公司,,022475.OF,012724,False
022481,国泰中证动漫游戏ETF联接-E,指数型-股票,存续,2024-11-11,,2024-11-11,tushare_fund_basic,国泰基金管理有限公司,,022481.OF,012728,False
022482,国泰中证新能源汽车ETF联接-E,指数型-股票,存续,2024-11-21,,2024-11-21,tushare_fund_basic,国泰基金管理有限公司,,022482.OF,022482,True
022483,国泰中证全指家用电器ETF联接-E,指数型-股票,存续,2024-11-21,,2024-11-21,tushare_fund_basic,国泰基金管理有限公司,,022483.OF,022483,True
022485,国金中证A500指数增强-A,指数型-股票,存续,2024-11-18,,2024-11-18,tushare_fund_basic,国金基金管理有限公司,,022485.OF,022485,True
022486,国金中证A500指数增强-C,指数型-股票,存续,2024-11-18,,2024-11-18,tushare_fund_basic,国金基金管理有限公司,,022486.OF,022485,False
022494,国泰上证综合ETF联接-E,指数型-股票,存续,2024-11-11,,2024-11-11,tushare_fund_basic,国泰基金管理有限公司,,022494.OF,022494,True
