date,close,pe
2024-06-28,6321.7,18.66
2024-07-01,6323.4,18.67
2024-07-02,6308.97,18.62
2024-07-03,6476.55,19.1
2024-07-04,6527.8,19.23
2024-07-05,6471.84,19.07
2024-07-08,6414.33,18.91
2024-07-09,6465.27,19.07
2024-07-10,6480.08,19.07
2024-07-11,6605.21,19.43
2024-07-12,6803.06,20.01
2024-07-15,6637.84,19.55
2024-07-16,6505.49,19.15
2024-07-17,6484.47,19.06
2024-07-18,6441.96,18.94
2024-07-19,6332.33,18.64
2024-07-22,6469.33,19.05
2024-07-23,6376.54,18.78
2024-07-24,6313.81,18.62
2024-07-25,6159.64,18.16
2024-07-26,6178.98,18.22
2024-07-29,6257.6,18.4
2024-07-30,6171.15,18.14
2024-07-31,6319.57,18.61
2024-08-01,6287.63,18.53
2024-08-02,6143.1,18.13
2024-08-05,6126.46,18.07
2024-08-06,6160.53,18.18
2024-08-07,6251.56,18.46
2024-08-08,6306.77,18.66
2024-08-09,6373.6,18.84
2024-08-12,6427.83,19.02
2024-08-13,6460.88,19.1
2024-08-14,6387.92,18.86
2024-08-15,6346.38,18.77
2024-08-16,6522.98,19.24
2024-08-19,6590.32,19.43
2024-08-20,6500.15,19.16
2024-08-21,6467.82,19.07
2024-08-22,6576.75,19.4
2024-08-23,6501.28,19.11
2024-08-26,6325.11,18.41
2024-08-27,6248.95,18.22
2024-08-28,6099.66,17.79
2024-08-29,6227.65,18.13
2024-08-30,6341.16,18.45
2024-09-02,6243.53,18.17
2024-09-03,6277.55,18.27
2024-09-04,6222.53,18.07
2024-09-05,6206.21,18.02
2024-09-06,6202.63,18.01
2024-09-09,6142.77,17.85
2024-09-10,6203.26,17.98
2024-09-11,6231.39,18.07
2024-09-12,6311.59,18.3
2024-09-13,6290.26,18.24
2024-09-16,6324.81,18.35
2024-09-17,6382.14,18.51
2024-09-18,6370.17,18.47
2024-09-19,6573.7,19.02
2024-09-20,6584.67,19.05
2024-09-23,6574.69,19.04
2024-09-24,6959.94,20.14
2024-09-25,6934.75,20.1
2024-09-26,7486.18,21.67
2024-09-27,7802.78,22.52
2024-09-30,8117.27,23.35
2024-10-01,8205.16,23.61
2024-10-02,8772.04,25.14
2024-10-03,8633.1,24.74
2024-10-04,8892.56,25.45
2024-10-07,8921.54,25.56
2024-10-08,8138.05,23.36
2024-10-09,8023.83,23.01
2024-10-10,8216.32,23.51
2024-10-11,8241.56,23.59
2024-10-14,8079.79,23.11
2024-10-15,7685.0,22.02
2024-10-16,7688.36,22.0
2024-10-17,7590.03,21.74
2024-10-18,7913.83,22.64
2024-10-21,7716.79,22.09
2024-10-22,7778.94,22.27
2024-10-23,7869.89,22.51
2024-10-24,7704.46,22.06
2024-10-25,7723.48,22.11
2024-10-28,7790.37,22.26
2024-10-29,7862.31,22.44
2024-10-30,7722.89,22.03
2024-10-31,7640.2,21.79
2024-11-01,7749.87,22.13
2024-11-04,7805.41,22.28
2024-11-05,7968.93,22.73
2024-11-06,7775.18,22.21
2024-11-07,8041.93,22.97
2024-11-08,7832.65,22.37
2024-11-11,7783.98,22.24
2024-11-12,7538.11,21.58
2024-11-13,7530.41,21.58
2024-11-14,7376.7,21.19
2024-11-15,7387.11,21.26
2024-11-18,7433.84,21.42
2024-11-19,7461.6,21.49
2024-11-20,7502.74,21.6
2024-11-21,7382.22,21.2
2024-11-22,7195.31,20.7
2024-11-25,7149.38,20.56
