序号,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
136,009063,财通智慧成长混合C,2026-07-31,3.0355,3.0355,1.91,-2.14,-28.08,12.51,31.9,112.2,211.81,209.24,44.8,203.55,117.287,0.00%
137,008989,大成科技创新混合C,2026-07-31,4.151,4.151,3.05,-8.75,-38.44,1.62,31.9,112.07,269.08,234.03,41.06,315.1,119.3047,0.00%
138,519172,浦银安盛睿智精选混合A,2026-07-31,3.31,3.31,2.07,-6.15,-20.34,25.38,46.92,111.77,145.0,129.22,57.54,231.0,110.9624,0.15%
139,011378,创金合信积极成长股票C,2026-07-31,2.2089,2.2089,1.78,-11.44,-27.16,25.37,36.62,111.58,221.67,169.61,60.67,120.89,111.621,0.00%
140,000411,景顺长城优质成长股票A,2026-07-31,3.948,4.501,4.72,-9.86,-30.63,-2.03,21.74,111.12,203.93,205.27,32.31,487.42,114.6819,0.15%
141,009049,易方达高端制造混合发起式A,2026-07-31,3.8372,3.8372,3.12,-3.42,-25.21,0.27,19.91,111.04,149.31,131.6,33.22,283.72,111.6375,0.15%
142,017744,嘉实绿色主题股票发起式A,2026-07-31,2.1698,2.1698,4.62,-7.87,-28.94,14.68,24.21,110.99,223.42,142.71,66.61,116.98,109.7641,0.15%
143,009808,易方达创新成长混合,2026-07-31,1.9919,1.9919,1.74,-5.14,-30.85,7.75,33.51,110.83,200.35,133.82,42.48,99.19,115.8539,0.15%
144,008555,华商龙头优势混合,2026-07-31,2.1628,2.1628,3.83,-8.42,-39.53,-5.51,17.38,110.72,181.28,149.49,36.99,116.28,116.5615,0.15%
145,008185,诺安研究优选混合A,2026-07-31,1.8356,1.8356,5.39,-11.56,-30.43,-0.03,13.63,110.65,141.08,69.24,32.11,83.56,109.711,0.15%
146,001048,富国新兴产业股票A,2026-07-31,5.506,5.506,3.99,-11.26,-29.97,3.38,33.65,110.47,236.96,172.98,42.23,450.6,112.8334,0.15%
147,021500,景顺长城优质成长股票C,2026-07-31,3.915,3.915,4.71,-9.9,-30.66,-2.15,21.47,110.26,201.62,,31.95,212.95,113.8176,0.00%
148,519173,浦银安盛睿智精选混合C,2026-07-31,3.035,3.035,2.05,-6.18,-20.4,25.1,46.34,110.03,141.06,123.82,56.77,203.5,109.3103,0.00%
149,014193,汇添富中证芯片产业指数增强发起式A,2026-07-31,1.8447,1.8447,3.53,-12.19,-28.8,15.02,26.71,109.98,194.26,164.89,49.42,84.47,111.1365,0.15%
150,019034,易方达高端制造混合发起式C,2026-07-31,3.7829,3.7829,3.12,-3.43,-25.24,0.15,19.61,109.97,146.62,,32.84,151.82,110.5706,0.00%
151,014497,诺安研究优选混合C,2026-07-31,1.8024,1.8024,5.39,-11.56,-30.45,-0.13,13.41,109.85,139.2,67.25,31.82,22.75,108.9013,0.00%
152,017745,嘉实绿色主题股票发起式C,2026-07-31,2.1255,2.1255,4.61,-7.89,-28.98,14.5,23.83,109.72,219.53,138.42,66.02,112.55,108.505,0.00%
153,011822,易方达产业升级混合A,2026-07-31,1.8848,1.8848,3.15,-3.43,-24.87,0.93,19.23,109.59,150.6,139.01,32.03,88.48,110.3102,0.15%
154,005550,汇安成长优选混合A,2026-07-31,3.4857,3.4857,3.0,-8.81,-30.97,8.68,26.97,109.57,292.36,244.91,40.76,248.57,110.6036,0.15%
155,014194,汇添富中证芯片产业指数增强发起式C,2026-07-31,1.8188,1.8188,3.52,-12.2,-28.81,14.93,26.51,109.32,192.41,162.45,49.14,81.88,110.4849,0.00%
156,015686,富国新兴产业股票C,2026-07-31,5.3762,5.3762,3.99,-11.27,-30.01,3.22,33.25,109.19,233.1,168.27,41.73,205.29,111.5781,0.00%
157,000390,华商优势行业混合A,2026-07-31,2.203,5.281,3.67,-6.69,-38.69,-9.0,26.19,109.06,200.95,170.39,35.09,1847.22,110.2919,0.15%
158,110002,易方达策略成长混合,2026-07-31,7.39,9.993,1.19,-2.44,-26.02,13.83,30.37,108.96,178.42,125.48,42.08,1506.63,113.3994,0.15%
159,011823,易方达产业升级混合C,2026-07-31,1.8473,1.8473,3.16,-3.43,-24.89,0.83,19.0,108.76,148.59,136.17,31.73,84.73,109.4919,0.00%
